Time Taken,Length of List
0.0010340213775634766,10000
0.001680135726928711,20000
0.00215911865234375,30000
0.0027229785919189453,40000
0.003345012664794922,50000
0.004338979721069336,60000
0.005043983459472656,70000
0.005167722702026367,80000
0.0058498382568359375,90000
0.0065462589263916016,100000
