"Size of n","Time","Operation"
"720","0.000001192092896","delete"
"720","0.000048875808716","access"
"730","0.000001192092896","insert"
"730","0.000000953674316","delete"
"730","0.000050067901611","access"
"740","0.000000000000000","insert"
"740","0.000000000000000","delete"
"740","0.000051259994507","access"
"750","0.000000953674316","insert"
"750","0.000000953674316","delete"
"750","0.000051021575928","access"
"760","0.000000000000000","insert"
"760","0.000000953674316","delete"
"760","0.000050067901611","access"
"770","0.000000000000000","insert"
"770","0.000000000000000","delete"
"770","0.000051975250244","access"
"780","0.000000953674316","insert"
"780","0.000000953674316","delete"
"780","0.000053167343140","access"
"790","0.000000953674316","insert"
"790","0.000000000000000","delete"
"790","0.000053167343140","access"
"800","0.000000953674316","insert"
"800","0.000000953674316","delete"
"800","0.000053167343140","access"
"810","0.000001192092896","insert"
"810","0.000000000000000","delete"
"810","0.000054121017456","access"
"820","0.000001192092896","insert"
"820","0.000001192092896","delete"
"820","0.000054836273193","access"
"830","0.000000000000000","insert"
"830","0.000000715255737","delete"
"830","0.000055074691772","access"
"840","0.000000715255737","insert"
"840","0.000000000000000","delete"
"840","0.000057220458984","access"
"850","0.000000953674316","insert"
"850","0.000000000000000","delete"
"850","0.000057220458984","access"
"860","0.000000953674316","insert"
"860","0.000000000000000","delete"
"860","0.000057935714722","access"
"870","0.000000953674316","insert"
"870","0.000000000000000","delete"
"870","0.000061988830566","access"
"880","0.000000953674316","insert"
"880","0.000000715255737","delete"
"880","0.000061988830566","access"
"890","0.000000000000000","insert"
"890","0.000000953674316","delete"
"890","0.000063896179199","access"
"900","0.000001192092896","insert"
"900","0.000000000000000","delete"
"900","0.000064849853516","access"
"910","0.000000953674316","insert"
"910","0.000000000000000","delete"
"910","0.000065088272095","access"
"920","0.000000000000000","insert"
"920","0.000000953674316","delete"
"920","0.000063896179199","access"
"930","0.000001192092896","insert"
"930","0.000001192092896","delete"
"930","0.000064134597778","access"
"940","0.000000000000000","insert"
"940","0.000000000000000","delete"
"940","0.000066995620728","access"
"950","0.000000000000000","insert"
"950","0.000000715255737","delete"
"950","0.000066995620728","access"
"960","0.000000000000000","insert"
"960","0.000000000000000","delete"
"960","0.000068187713623","access"
"970","0.000000953674316","insert"
"970","0.000000000000000","delete"
"970","0.000068902969360","access"
"980","0.000000953674316","insert"
"980","0.000000953674316","delete"
"980","0.000066041946411","access"
"990","0.000000000000000","insert"
"990","0.000000953674316","delete"
"990","0.000068187713623","access"
"1000","0.000000000000000","insert"
"1000","0.000000953674316","delete"
"1000","0.000067234039307","access"
"1010","0.000000000000000","insert"
"1010","0.000001192092896","delete"
"1010","0.000069141387939","access"
"1020","0.000001192092896","insert"
"1020","0.000000000000000","delete"
"1020","0.000072956085205","access"
"1030","0.000000000000000","insert"
"1030","0.000001192092896","delete"
"1030","0.000078201293945","access"
"1040","0.000000000000000","insert"
"1040","0.000000953674316","delete"
"1040","0.000075101852417","access"
"1050","0.000000953674316","insert"
"1050","0.000001192092896","delete"
"1050","0.000072956085205","access"
"1060","0.000000000000000","insert"
"1060","0.000000000000000","delete"
"1060","0.000078201293945","access"
"1070","0.000000000000000","insert"
"1070","0.000000000000000","delete"
"1070","0.000072956085205","access"
"1080","0.000000953674316","insert"
"1080","0.000000953674316","delete"
"1080","0.000082969665527","access"
"1090","0.000000953674316","insert"
